year,id_evaluator,name_center,id_center,id_class,score1_a,score1,score2_a,score2,score3_a,score3,score4_a,score4,score5_a,score5,score6_a,score6,score7_a,score7,score8_a,score8,score9_a,score9,score10_a,score10,score11_a,score11,score12_a,score12,score13_a,score13,score14_a,score14,score15_a,score15,score16_a,score16,score17_a,score17,score18_a,score18,score19_a,score19,score20_a,score20,score21_a,score21,score22_a,score22,score23_a,score23,score24_a,score24,score25_a,score25,score26_a,score26,score27_a,score27,score28_a,score28,score29_a,score29,score30_a,score30,score31_a,score31,score32_a,score32,score33_a,score33,score34_a,score34,score35_a,score35,subscale1,subscale2,subscale3,subscale4,subscale5,subscale6,total
2017,1,にいくら保育園,3,91,6,6,,1,,1,,1,4,4,7,7,,1,,4,,2,,5,,7,,3,,2,,4,3,3,,2,,2,,3,,2,,1,1,1,,3,2,2,,5,1,1,,1,,,,1,,2,,3,,4,,5,,4,,2,5,7,6,,3,1,,,3
2017,7,にいくら保育園,3,92,4,4,1,1,1,1,2,2,2,2,1,1,1,1,4,4,2,2,2,2,3,3,4,4,4,4,4,4,1,1,4,4,2,2,3,3,2,2,1,1,3,3,1,1,1,1,5,5,1,1,1,1,,,1,1,2,2,4,4,1,1,2,2,2,2,4,4,4,4,2,3,3,2,2,3,2
2017,1,にいくら保育園,3,93,6,6,1,1,1,1,1,1,1,1,2,4,4,4,4,4,1,1,6,6,3,3,1,1,1,1,1,1,3,2,2,3,1,1,1,1,2,2,1,1,1,1,2,2,1,1,3,3,1,1,1,1,,,2,1,3,3,1,1,2,2,1,1,2,2,2,2,2,2,2,4,2,1,2,2,2
2017,5,にいくら保育園,3,94,4,4,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,3,4,4,2,2,2,2,4,4,1,1,2,2,3,3,2,2,1,1,2,2,1,1,,1,1,1,1,2,5,5,2,2,,1,,,6,6,3,3,5,5,7,7,4,4,4,4,4,4,7,5,2,3,2,2,5,4,3
2017,7,ほんちょう保育園,4,31,4,4,2,2,1,1,1,1,1,1,5,5,1,1,5,4,1,1,2,2,7,7,2,2,2,2,4,4,3,3,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,,,4,4,1,1,1,1,1,1,4,4,3,3,1,1,3,3,2,4,3,1,2,2,2
2017,5,ほんちょう保育園,4,51,4,4,1,1,1,1,2,2,2,2,2,2,6,6,4,4,1,1,4,4,1,1,5,5,4,4,5,5,2,2,3,3,1,1,1,1,2,2,1,1,1,1,3,3,1,1,4,4,1,2,1,1,,,4,4,3,3,6,5,6,5,4,4,3,3,2,2,4,4,3,3,4,2,5,3,3
2017,7,ひろさわ保育園,6,31,4,4,2,2,2,2,3,3,6,6,5,5,4,4,2,2,3,3,2,2,7,7,5,5,4,4,1,1,2,2,3,3,2,2,1,1,4,4,1,1,3,3,4,4,1,1,4,4,2,2,2,2,,,6,6,4,4,6,6,5,5,5,5,3,3,5,5,7,7,4,4,3,2,5,4,3
2017,7,ひろさわ保育園,6,51,7,7,2,2,2,2,3,3,1,1,2,2,2,2,4,4,7,7,1,1,1,1,3,3,4,4,6,6,3,3,3,3,2,2,1,1,2,2,1,1,1,1,2,2,1,1,3,3,1,1,1,2,,,6,6,4,4,7,7,4,4,5,5,5,5,5,5,4,4,3,3,4,2,5,5,3
2017,8,キッズエイド和光保育園,7,32,4,4,1,1,1,1,1,1,1,1,2,2,1,1,4,4,3,3,1,1,4,4,1,1,1,1,,4,1,1,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,,,6,6,1,1,1,1,1,1,5,5,1,1,1,1,4,4,2,3,1,1,3,1,2
2017,7,キッズエイド和光保育園,7,51,4,4,1,1,2,2,3,3,1,1,4,4,2,2,4,4,4,4,4,4,7,7,2,2,3,3,5,5,4,4,2,2,4,4,2,2,2,2,1,1,1,1,1,1,1,1,5,5,1,1,3,3,,,7,7,4,4,6,6,5,5,7,7,1,1,4,4,4,4,2,5,3,2,6,3,3
2017,7,下新倉みどり保育園,9,31,6,6,1,1,2,2,1,1,4,4,6,6,7,7,4,4,6,6,4,4,6,6,3,3,3,3,4,4,3,3,3,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,,,7,7,4,4,7,7,4,4,5,5,5,5,1,1,4,4,4,5,3,1,5,3,3
